Rank,Player(s),Club(s),Goals
1,Didier Drogba,Chelsea,29
2,Wayne Rooney,Man United,26
3,Darren Bent,Sunderland,24
4,Carlos Tevez,Man City,23
5,Frank Lampard,Chelsea,22
6,Jermain Defoe,Tottenham,18
6,Fernando Torres,Liverpool,18
8,Cesc Fàbregas,Arsenal,15
9,Emmanuel Adebayor,Man City,14
10,Gabriel Agbonlahor,Aston Villa,13
10,Louis Saha,Everton,13
