Rank,Player(s),Club(s),Goals
1,Nicolas Anelka,Chelsea,19
2,Cristiano Ronaldo,Man United,18
3,Steven Gerrard,Liverpool,16
4,Robinho,Man City,14
4,Fernando Torres,Liverpool,14
6,Gabriel Agbonlahor,Aston Villa,12
6,Darren Bent,Tottenham,12
6,Kevin Davies,Bolton,12
6,Dirk Kuyt,Liverpool,12
6,Frank Lampard,Chelsea,12
6,Wayne Rooney,Man United,12
