Rank,Player(s),Club(s),Goals
1,Jamie Vardy,Leicester City,23
2,Pierre-Emerick Aubameyang,Arsenal,22
2,Danny Ings,Southampton,22
4,Raheem Sterling,Man City,20
5,Mohamed Salah,Liverpool,19
6,Harry Kane,Tottenham,18
6,Sadio Mané,Liverpool,18
8,Raúl Jiménez,Wolves,17
8,Anthony Martial,Man United,17
8,Marcus Rashford,Man United,17
