Rank,Player(s),Club(s),Goals
1,Erling Haaland,Man City,36
2,Harry Kane,Tottenham,30
3,Ivan Toney,Brentford,20
4,Mohamed Salah,Liverpool,19
5,Callum Wilson,Newcastle,18
6,Marcus Rashford,Man United,17
7,Gabriel Martinelli,Arsenal,15
7,Martin Ødegaard,Arsenal,15
7,Ollie Watkins,Aston Villa,15
10,Aleksandar Mitrović,Fulham,14
10,Bukayo Saka,Arsenal,14
