Rank,Player(s),Club(s),Goals
1,Luis Suárez,Liverpool,31
2,Daniel Sturridge,Liverpool,21
3,Yaya Touré,Man City,20
4,Sergio Agüero,Man City,17
4,Wayne Rooney,Man United,17
6,Wilfried Bony,Swansea,16
6,Edin Džeko,Man City,16
6,Olivier Giroud,Arsenal,16
9,Romelu Lukaku,Everton,15
9,Jay Rodriguez,Southampton,15
