Rank,Player(s),Club(s),Goals
1,Cristiano Ronaldo,Man United,31
2,Emmanuel Adebayor,Arsenal,24
2,Fernando Torres,Liverpool,24
4,Roque Santa Cruz,Blackburn Rovers,19
5,Benjani,Portsmouth,15
5,Dimitar Berbatov,Tottenham,15
5,Robbie Keane,Tottenham,15
5,Yakubu,Everton,15
9,Carlos Tevez,Man United,14
10,John Carew,Aston Villa,13
