Rank,Player(s),Club(s),Goals
1,Robin van Persie,Man United,26
2,Luis Suárez,Liverpool,23
3,Gareth Bale,Tottenham,21
4,Christian Benteke,Aston Villa,19
5,Michu,Swansea,18
6,Romelu Lukaku,West Brom,17
7,Demba Ba,Chelsea,15
7,Dimitar Berbatov,Fulham,15
7,Rickie Lambert,Southampton,15
7,Frank Lampard,Chelsea,15
