Rank,Player(s),Club(s),Goals
1,Harry Kane,Tottenham,29
2,Romelu Lukaku,Everton,25
3,Alexis Sánchez,Arsenal,24
4,Diego Costa,Chelsea,20
4,Sergio Agüero,Man City,20
6,Dele Alli,Tottenham,18
7,Zlatan Ibrahimović,Man United,17
8,Joshua King,Bournemouth,16
8,Eden Hazard,Chelsea,16
10,Fernando Llorente,Swansea,15
10,Jermain Defoe,Sunderland,15
