Rank,Player(s),Club(s),Goals
1,Robin van Persie,Arsenal,30
2,Wayne Rooney,Man United,27
3,Sergio Agüero,Man City,23
4,Clint Dempsey,Fulham,17
4,Emmanuel Adebayor,Tottenham,17
4,Yakubu,Blackburn Rovers,17
7,Demba Ba,Newcastle,16
8,Grant Holt,Norwich,15
9,Edin Džeko,Man City,14
10,Mario Balotelli,Man City,13
10,Papiss Cissé,Newcastle,13
