Rank,Player(s),Club(s),Goals
1,Sergio Agüero,Man City,26
2,Harry Kane,Tottenham,21
3,Diego Costa,Chelsea,20
4,Charlie Austin,QPR,18
5,Alexis Sánchez,Arsenal,16
6,Saido Berahino,West Brom,14
6,Olivier Giroud,Arsenal,14
6,Eden Hazard,Chelsea,14
9,Christian Benteke,Aston Villa,13
10,Graziano Pellè,Southampton,12
10,Wayne Rooney,Man United,12
10,David Silva,Man City,12
