Rank,Player(s),Club(s),Goals
1,Mohamed Salah,Liverpool,32
2,Harry Kane,Tottenham,30
3,Sergio Agüero,Man City,21
4,Jamie Vardy,Leicester City,20
5,Raheem Sterling,Man City,18
6,Romelu Lukaku,Man United,16
7,Roberto Firmino,Liverpool,15
8,Alexandre Lacazette,Arsenal,14
9,Gabriel Jesus,Man City,13
10,Eden Hazard,Chelsea,12
10,Son Heung-min,Tottenham,12
